State 	ExpPrior[ RecRate ]	Coalescent	dataLikelihood	popSize	RecRate	a.freq	c.freq	g.freq	t.freq 	KappaR	KappaY	root.height	visible.height	visible.recombs	total.recombs	num.patterns	num.nodes	 mc.speed 
490000	-9.6715	243.5565	-69006.46392100604	0.000774706	161.316405	0.31720361350968285	0.1807986686266136	0.1863690032563149	0.3156287146073888	1.762907	1.149691	0.003468123393614524	0.003468123393614524	10	11	15632	47	2699.78
495000	-7.9834	201.6231	-69013.2069377389	0.00044445	119.11373	0.31578659010056076	0.18460596662238704	0.1831923328805768	0.3164151103964755	1.983173	1.047627	0.003129208004809674	0.003129208004809674	7	7	12726	40	2724.8
500000	-12.9816	242.7515	-68987.44249663348	0.000647279	244.068108	0.31635819976536717	0.1819050309884446	0.18517471579245554	0.3165620534537326	1.71809	0.947352	0.0037772557283843587	0.0037772557283843587	10	11	13050	47	2880.18
505000	-7.7005	189.0887	-69002.0276641221	0.000640958	112.039444	0.3145631547402591	0.1845058614003775	0.1853196691062225	0.3156113147531409	1.760211	0.991752	0.002937086344519669	0.002937086344519669	6	6	11045	40	2594.71
510000	-9.7464	239.0945	-68994.06204703839	0.000559212	163.187346	0.3172314168558944	0.18451856468331293	0.18489675568814398	0.3133532627726486	2.089685	1.173012	0.0036491453850117654	0.0036491453850117654	10	10	14438	47	2735.23
515000	-8.848	194.6117	-69007.79494673105	0.00090935	140.727021	0.3125404675161805	0.18377893554009447	0.18838379483593945	0.3152968021077855	2.424297	0.789959	0.0034987854190886465	0.0034987854190886465	6	7	10162	39	2669.51
520000	-5.9695	204.1974	-68991.67052185594	0.000668197	68.765813	0.31863306313322626	0.18174545854611218	0.1848287481059279	0.31479273021473375	2.0284	0.730262	0.0030023530847110725	0.0030023530847110725	8	8	12247	45	2732.24
525000	-10.4829	222.2566	-68994.99477982536	0.000681974	181.599475	0.3155370017408135	0.18669402904024196	0.18406305993205863	0.31370590928688596	1.612274	1.314387	0.0029411508190974435	0.0029411508190974435	9	9	12452	47	2788.62
530000	-12.22	204.3754	-68997.18210154364	0.000442513	225.027304	0.32034111380013564	0.18137402306192626	0.18279893078073003	0.3154859323572082	1.612938	0.851405	0.0028983479818795654	0.0028983479818795654	7	7	11003	43	2805.84
535000	-16.1599	227.642	-69000.6578395046	0.000472445	323.526793	0.3170722430105576	0.182928496651703	0.18490912949103025	0.3150901308467091	1.7245	1.001705	0.0033711268899020395	0.0033711268899020395	8	9	13851	44	2678.09
